location,machine,configuration,initial_operation,purchase_cost
1,M2,mc22,2,910.0
3,M4,mc42,12,1500.0
4,M5,mc51,11,900.0
5,M3,mc31,17,780.0
6,M2,mc22,2,910.0
7,M2,mc22,2,910.0
8,M4,mc42,12,1500.0
9,M2,mc23,11,1140.0
10,M3,mc31,17,780.0
11,M2,mc22,2,910.0
12,M2,mc22,2,910.0
13,M4,mc42,12,1500.0
14,M4,mc42,12,1500.0
15,M2,mc23,11,1140.0
16,M2,mc22,2,910.0
17,M4,mc42,17,1500.0
18,M2,mc22,2,910.0
20,M3,mc31,2,780.0
