period,resource,usage,capacity,slack
1,101001,0.0,0.0,0.0
2,101001,0.0,0.0,0.0
3,101001,0.0,0.0,0.0
4,101001,0.0,0.0,0.0
1,101002,0.0,0.0,0.0
2,101002,0.0,0.0,0.0
3,101002,0.0,0.0,0.0
4,101002,0.0,0.0,0.0
1,101003,0.0,0.0,0.0
2,101003,0.0,0.0,0.0
3,101003,0.0,0.0,0.0
4,101003,0.0,0.0,0.0
1,101004,0.0,0.0,0.0
2,101004,0.0,0.0,0.0
3,101004,0.0,0.0,0.0
4,101004,0.0,0.0,0.0
1,101005,0.0,0.0,0.0
2,101005,0.0,0.0,0.0
3,101005,0.0,0.0,0.0
4,101005,0.0,0.0,0.0
1,102001,0.0,0.0,0.0
2,102001,0.0,0.0,0.0
3,102001,0.0,0.0,0.0
4,102001,0.0,0.0,0.0
1,102002,0.0,0.0,0.0
2,102002,0.0,0.0,0.0
3,102002,0.0,0.0,0.0
4,102002,0.0,0.0,0.0
1,102003,0.0,0.0,0.0
2,102003,0.0,0.0,0.0
3,102003,0.0,0.0,0.0
4,102003,0.0,0.0,0.0
1,102004,0.0,0.0,0.0
2,102004,0.0,0.0,0.0
3,102004,0.0,0.0,0.0
4,102004,0.0,0.0,0.0
1,102005,0.0,0.0,0.0
2,102005,0.0,0.0,0.0
3,102005,0.0,0.0,0.0
4,102005,0.0,0.0,0.0
1,103001,5.0,5.0,0.0
2,103001,5.0,5.0,0.0
3,103001,5.0,5.0,0.0
4,103001,5.0,5.0,0.0
1,103002,5.0,5.0,0.0
2,103002,5.0,5.0,0.0
3,103002,5.0,5.0,0.0
4,103002,5.0,5.0,0.0
1,103003,5.0,5.0,0.0
2,103003,5.0,5.0,0.0
3,103003,5.0,5.0,0.0
4,103003,5.0,5.0,0.0
1,103004,5.0,5.0,0.0
2,103004,5.0,5.0,0.0
3,103004,5.0,5.0,0.0
4,103004,5.0,5.0,0.0
1,103005,5.0,5.0,0.0
2,103005,5.0,5.0,0.0
3,103005,5.0,5.0,0.0
4,103005,5.0,5.0,0.0
1,103006,0.0,5.0,5.0
2,103006,5.0,5.0,0.0
3,103006,5.0,5.0,0.0
4,103006,5.0,5.0,0.0
1,104001,0.0,0.0,0.0
2,104001,0.0,0.0,0.0
3,104001,0.0,0.0,0.0
4,104001,0.0,0.0,0.0
1,104002,0.0,0.0,0.0
2,104002,0.0,0.0,0.0
3,104002,0.0,0.0,0.0
4,104002,0.0,0.0,0.0
1,104003,0.0,0.0,0.0
2,104003,0.0,0.0,0.0
3,104003,0.0,0.0,0.0
4,104003,0.0,0.0,0.0
1,104004,0.0,0.0,0.0
2,104004,0.0,0.0,0.0
3,104004,0.0,0.0,0.0
4,104004,0.0,0.0,0.0
1,104005,0.0,0.0,0.0
2,104005,0.0,0.0,0.0
3,104005,0.0,0.0,0.0
4,104005,0.0,0.0,0.0
1,105001,7.0,7.0000000050518825,0.0
2,105001,7.0,7.0000000050518825,0.0
3,105001,7.0,7.0000000050518825,0.0
4,105001,7.0,7.0000000050518825,0.0
1,105002,7.0,7.0000000050518825,0.0
2,105002,7.0,7.0000000050518825,0.0
3,105002,7.0,7.0000000050518825,0.0
4,105002,7.0,7.0000000050518825,0.0
1,105003,3.0,7.0000000050518825,4.0
2,105003,7.0,7.0000000050518825,0.0
3,105003,7.0,7.0000000050518825,0.0
4,105003,7.0,7.0000000050518825,0.0
1,105004,3.0,5.0,2.0
2,105004,5.0,5.0,0.0
3,105004,5.0,5.0,0.0
4,105004,5.0,5.0,0.0
1,105005,3.0,5.0,2.0
2,105005,5.0,5.0,0.0
3,105005,5.0,5.0,0.0
4,105005,5.0,5.0,0.0
