resource,required_capacity,peak_usage_in_solution,capacity_minus_peak,capacity_basis,system_solution_proven_optimal,proven_lexicographic_optimal
101001,0.0,0.0,0.0,posthoc_peak_usage,True,False
101002,0.0,0.0,0.0,posthoc_peak_usage,True,False
101003,0.0,0.0,0.0,posthoc_peak_usage,True,False
101004,0.0,0.0,0.0,posthoc_peak_usage,True,False
101005,0.0,0.0,0.0,posthoc_peak_usage,True,False
102001,0.0,0.0,0.0,posthoc_peak_usage,True,False
102002,0.0,0.0,0.0,posthoc_peak_usage,True,False
102003,0.0,0.0,0.0,posthoc_peak_usage,True,False
102004,0.0,0.0,0.0,posthoc_peak_usage,True,False
102005,0.0,0.0,0.0,posthoc_peak_usage,True,False
103001,5.0,5.0,0.0,posthoc_peak_usage,True,False
103002,5.0,5.0,0.0,posthoc_peak_usage,True,False
103003,5.0,5.0,0.0,posthoc_peak_usage,True,False
103004,5.0,5.0,0.0,posthoc_peak_usage,True,False
103005,5.0,5.0,0.0,posthoc_peak_usage,True,False
103006,5.0,5.0,0.0,posthoc_peak_usage,True,False
104001,0.0,0.0,0.0,posthoc_peak_usage,True,False
104002,0.0,0.0,0.0,posthoc_peak_usage,True,False
104003,0.0,0.0,0.0,posthoc_peak_usage,True,False
104004,0.0,0.0,0.0,posthoc_peak_usage,True,False
104005,0.0,0.0,0.0,posthoc_peak_usage,True,False
105001,7.0,7.0,0.0,posthoc_peak_usage,True,False
105002,7.0,7.0,0.0,posthoc_peak_usage,True,False
105003,7.0,7.0,0.0,posthoc_peak_usage,True,False
105004,5.0,5.0,0.0,posthoc_peak_usage,True,False
105005,5.0,5.0,0.0,posthoc_peak_usage,True,False
