period,location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost
2,1,M2,mc23,M2,mc24,2,175.0
2,7,M4,mc43,M4,mc42,12,275.0
2,8,M2,mc23,M2,mc24,2,175.0
2,14,M3,mc31,M3,mc32,11,275.0
2,15,M3,mc31,M3,mc32,17,275.0
2,20,M3,mc31,M3,mc32,8,275.0
3,4,M2,mc22,M2,mc23,8,150.0
