location,machine,configuration,initial_operation,purchase_cost
1,M2,mc23,11,1140.0
2,M4,mc42,12,1500.0
3,M2,mc23,11,1140.0
4,M2,mc22,2,910.0
6,M2,mc22,2,910.0
7,M4,mc43,2,1400.0
8,M2,mc23,11,1140.0
9,M4,mc42,12,1500.0
10,M2,mc23,11,1140.0
11,M2,mc22,2,910.0
12,M2,mc22,2,910.0
13,M4,mc42,12,1500.0
14,M3,mc31,17,780.0
15,M3,mc31,17,780.0
16,M2,mc22,2,910.0
18,M4,mc42,12,1500.0
19,M3,mc32,11,1825.0
20,M3,mc31,12,780.0
