period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
3,3,11,4,8,18.0,1.0,4.0,72.0
3,3,11,22,999,2.0,5.5,4.0,44.0
3,4,8,22,999,18.0,4.5,4.0,324.0
3,6,2,7,12,15.0,1.0,4.0,60.0
3,7,12,10,11,5.0,3.0,4.0,60.0
3,7,12,15,11,11.0,4.0,4.0,176.0
3,8,2,9,12,20.0,1.0,4.0,80.0
3,9,12,10,11,20.0,1.0,4.0,80.0
3,10,11,22,999,25.0,2.5,4.0,250.0
3,11,2,7,12,1.0,2.0,4.0,8.0
3,11,2,13,12,7.0,2.0,4.0,56.0
3,11,2,18,12,7.0,3.0,4.0,84.0
3,12,2,13,12,15.0,1.0,4.0,60.0
3,13,12,14,17,15.0,1.0,4.0,60.0
3,13,12,15,11,7.0,2.0,4.0,56.0
3,14,17,22,999,15.0,3.5,4.0,210.0
3,15,11,22,999,18.0,2.5,4.0,180.0
3,16,2,18,12,15.0,2.0,4.0,120.0
3,18,12,19,11,22.0,1.0,4.0,88.0
3,19,11,20,8,22.0,1.0,4.0,88.0
3,20,8,22,999,22.0,3.5,4.0,308.0
3,21,0,1,2,20.0,3.5,4.0,280.0
3,21,0,6,2,15.0,2.5,4.0,150.0
3,21,0,8,2,20.0,4.5,4.0,360.0
3,21,0,11,2,15.0,2.5,4.0,150.0
3,21,0,12,2,15.0,3.5,4.0,210.0
3,21,0,16,2,15.0,3.5,4.0,210.0
4,1,2,2,12,15.0,1.0,4.0,60.0
4,2,12,3,11,15.0,1.0,4.0,60.0
4,3,11,4,8,18.0,1.0,4.0,72.0
4,3,11,22,999,5.0,5.5,4.0,110.0
4,4,8,22,999,18.0,4.5,4.0,324.0
4,6,2,7,12,15.0,1.0,4.0,60.0
4,7,12,3,11,8.0,2.0,4.0,64.0
4,7,12,10,11,7.0,3.0,4.0,84.0
4,8,2,9,12,20.0,1.0,4.0,80.0
4,9,12,10,11,18.0,1.0,4.0,72.0
4,9,12,14,11,2.0,1.0,4.0,8.0
4,10,11,22,999,25.0,2.5,4.0,250.0
4,11,2,13,12,15.0,2.0,4.0,120.0
4,12,2,13,12,7.0,1.0,4.0,28.0
4,12,2,18,12,3.0,2.0,4.0,24.0
4,13,12,14,11,22.0,1.0,4.0,88.0
4,14,11,15,8,24.0,1.0,4.0,96.0
4,15,8,22,999,24.0,2.5,4.0,240.0
4,16,2,18,12,15.0,2.0,4.0,120.0
4,18,12,19,11,18.0,1.0,4.0,72.0
4,19,11,20,8,18.0,1.0,4.0,72.0
4,20,8,22,999,18.0,3.5,4.0,252.0
4,21,0,1,2,15.0,3.5,4.0,210.0
4,21,0,6,2,15.0,2.5,4.0,150.0
4,21,0,8,2,20.0,4.5,4.0,360.0
4,21,0,11,2,15.0,2.5,4.0,150.0
4,21,0,12,2,10.0,3.5,4.0,140.0
4,21,0,16,2,15.0,3.5,4.0,210.0
