period,location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost
2,2,M5,mc51,M5,mc54,1,50.0
2,4,M3,mc31,M3,mc32,17,275.0
2,6,M5,mc51,M5,mc52,5,225.0
2,7,M3,mc31,M3,mc32,1,275.0
2,8,M3,mc31,M3,mc32,17,275.0
2,10,M5,mc51,M5,mc52,5,225.0
2,11,M3,mc31,M3,mc32,1,275.0
2,12,M3,mc31,M3,mc32,17,275.0
4,3,M5,mc51,M5,mc54,1,50.0
