period,location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost
2,6,M5,mc51,M5,mc52,5,225.0
2,7,M3,mc31,M3,mc32,1,350.0
2,8,M3,mc31,M3,mc32,17,350.0
2,10,M5,mc51,M5,mc52,5,225.0
2,11,M3,mc31,M3,mc32,1,350.0
2,12,M3,mc31,M3,mc32,17,350.0
2,15,M5,mc51,M5,mc54,1,125.0
3,14,M5,mc51,M5,mc54,1,125.0
3,16,M3,mc31,M3,mc32,17,350.0
