period,resource,usage,capacity,slack
3,1010005,0.0,5.0,5.0
4,1010005,0.0,5.0,5.0
1,1011001,0.0,5.0,5.0
2,1011001,5.0,5.0,0.0
3,1011001,5.0,5.0,0.0
4,1011001,5.0,5.0,0.0
1,1011002,0.0,5.0,5.0
2,1011002,5.0,5.0,0.0
3,1011002,5.0,5.0,0.0
4,1011002,5.0,5.0,0.0
1,1011003,0.0,5.0,5.0
2,1011003,5.0,5.0,0.0
3,1011003,5.0,5.0,0.0
4,1011003,5.0,5.0,0.0
1,1011004,0.0,5.0,5.0
2,1011004,5.0,5.0,0.0
3,1011004,5.0,5.0,0.0
4,1011004,5.0,5.0,0.0
1,1011005,0.0,5.0,5.0
2,1011005,5.0,5.0,0.0
3,1011005,5.0,5.0,0.0
4,1011005,5.0,5.0,0.0
1,1011006,0.0,5.0,5.0
2,1011006,5.0,5.0,0.0
3,1011006,5.0,5.0,0.0
4,1011006,5.0,5.0,0.0
1,1012001,0,0.0,0.0
2,1012001,0,0.0,0.0
3,1012001,0,0.0,0.0
4,1012001,0,0.0,0.0
1,1012002,0,0.0,0.0
2,1012002,0,0.0,0.0
3,1012002,0,0.0,0.0
4,1012002,0,0.0,0.0
1,1013001,0.0,0.0,0.0
2,1013001,0.0,0.0,0.0
3,1013001,0.0,0.0,0.0
4,1013001,0.0,0.0,0.0
1,1013002,0.0,0.0,0.0
2,1013002,0.0,0.0,0.0
3,1013002,0.0,0.0,0.0
4,1013002,0.0,0.0,0.0
1,1013003,0.0,0.0,0.0
2,1013003,0.0,0.0,0.0
3,1013003,0.0,0.0,0.0
4,1013003,0.0,0.0,0.0
1,1013004,0.0,0.0,0.0
2,1013004,0.0,0.0,0.0
3,1013004,0.0,0.0,0.0
4,1013004,0.0,0.0,0.0
1,1013005,0.0,0.0,0.0
2,1013005,0.0,0.0,0.0
3,1013005,0.0,0.0,0.0
4,1013005,0.0,0.0,0.0
1,1014001,0,0.0,0.0
2,1014001,0,0.0,0.0
3,1014001,0,0.0,0.0
4,1014001,0,0.0,0.0
1,1014002,0,0.0,0.0
2,1014002,0,0.0,0.0
3,1014002,0,0.0,0.0
4,1014002,0,0.0,0.0
1,1014003,0,0.0,0.0
2,1014003,0,0.0,0.0
3,1014003,0,0.0,0.0
4,1014003,0,0.0,0.0
1,1014004,0,0.0,0.0
2,1014004,0,0.0,0.0
3,1014004,0,0.0,0.0
4,1014004,0,0.0,0.0
1,1015001,4.0,4.0,0.0
2,1015001,1.0,4.0,3.0
3,1015001,1.0,4.0,3.0
4,1015001,0.0,4.0,4.0
1,1015002,4.0,4.0,0.0
2,1015002,1.0,4.0,3.0
3,1015002,1.0,4.0,3.0
4,1015002,0.0,4.0,4.0
1,1016001,3.0,5.0,2.0
2,1016001,5.0,5.0,0.0
3,1016001,5.0,5.0,0.0
4,1016001,5.0,5.0,0.0
1,1016002,3.0,5.0,2.0
2,1016002,5.0,5.0,0.0
3,1016002,5.0,5.0,0.0
4,1016002,5.0,5.0,0.0
1,1016003,3.0,5.0,2.0
2,1016003,5.0,5.0,0.0
3,1016003,5.0,5.0,0.0
4,1016003,5.0,5.0,0.0
1,1016004,3.0,5.0,2.0
2,1016004,5.0,5.0,0.0
3,1016004,5.0,5.0,0.0
4,1016004,5.0,5.0,0.0
1,1016005,3.0,5.0,2.0
2,1016005,5.0,5.0,0.0
3,1016005,5.0,5.0,0.0
4,1016005,5.0,5.0,0.0
1,1017001,0,0.0,0.0
2,1017001,0,0.0,0.0
3,1017001,0,0.0,0.0
4,1017001,0,0.0,0.0
1,1017002,0,0.0,0.0
2,1017002,0,0.0,0.0
3,1017002,0,0.0,0.0
4,1017002,0,0.0,0.0
1,1017003,0,0.0,0.0
2,1017003,0,0.0,0.0
3,1017003,0,0.0,0.0
4,1017003,0,0.0,0.0
1,1017004,0,0.0,0.0
2,1017004,0,0.0,0.0
3,1017004,0,0.0,0.0
4,1017004,0,0.0,0.0
1,1017005,0,0.0,0.0
2,1017005,0,0.0,0.0
3,1017005,0,0.0,0.0
4,1017005,0,0.0,0.0
1,1018001,0.0,2.0,2.0
2,1018001,1.0,2.0,1.0
3,1018001,1.0,2.0,1.0
4,1018001,2.0,2.0,0.0
1,1018002,0.0,2.0,2.0
2,1018002,1.0,2.0,1.0
3,1018002,1.0,2.0,1.0
4,1018002,2.0,2.0,0.0
1,1018003,0.0,2.0,2.0
2,1018003,1.0,2.0,1.0
3,1018003,1.0,2.0,1.0
4,1018003,2.0,2.0,0.0
