problem,formulation,strengthening_profile,seed,threads,time_limit_seconds,pure_lp_bound,pure_lp_runtime_seconds,mip_status,final_incumbent,final_best_bound,final_gap_percent,runtime_seconds,node_count,total_variables,binary_variables,continuous_variables,constraints,schedule_column_count,time_to_first_incumbent_seconds,incumbent_improvement_count,bound_improvement_count,gap_integral_percent_seconds,time_to_mip_gap_5p0_percent,time_to_bound_within_5p0_percent,time_to_mip_gap_2p0_percent,time_to_bound_within_2p0_percent,time_to_mip_gap_1p0_percent,time_to_bound_within_1p0_percent,time_to_mip_gap_0p5_percent,time_to_bound_within_0p5_percent,time_to_mip_gap_0p1_percent,time_to_bound_within_0p1_percent,time_to_best_known_incumbent_seconds
multi_part,network_mir,network_mir,1,1,600.0,34888.485638,0.09531784057617188,TIME_LIMIT,35775.0,35386.520493,1.0858965958156426,600.0054268836975,25817.0,13360,1600,11760,3698,0,0.503668,7,531,784.537189,0.59541,0.323535,14.647093,12.090341,,,,,,,75.817562
multi_part,schedule_dw,network_mir,1,1,600.0,34888.485638,0.35442113876342773,TIME_LIMIT,35791.0,35326.648232,1.297398086441566,600.0104539394379,30305.0,63600,57600,6000,1298,2880,1.076014,5,181,1043.035296,3.687942,0.713573,100.906158,58.88935,,,,,,,
