location,machine,configuration,initial_operation,purchase_cost
1,M5,mc52,5,1175.0
2,M5,mc51,1,900.0
3,M5,mc51,1,900.0
4,M2,mc23,17,1140.0
5,M5,mc52,5,1175.0
6,M5,mc52,17,1175.0
7,M5,mc51,1,900.0
8,M2,mc23,17,1140.0
9,M5,mc52,5,1175.0
10,M5,mc51,1,900.0
11,M2,mc23,17,1140.0
12,M2,mc23,17,1140.0
13,M5,mc52,17,1175.0
14,M5,mc51,1,900.0
15,M5,mc51,1,900.0
16,M2,mc23,17,1140.0
