resource,optimized_capacity,peak_usage_in_solution,capacity_minus_peak,proven_lexicographic_optimal
11,7.0,7.0,0.0,False
12,2.0,2.0,0.0,False
13,8.0,8.0,0.0,False
14,10.0,10.0,0.0,False
15,7.0,7.0,0.0,False
16,10.0,10.0,0.0,False
17,2.0,2.0,0.0,False
18,7.0,7.0,0.0,False
19,10.0,10.0,0.0,False
20,8.0,8.0,0.0,False
21,5.0,5.0,0.0,False
22,1.0,1.0,0.0,False
23,0.0,0.0,0.0,False
24,6.0,6.0,0.0,False
25,0.0,0.0,0.0,False
