formulation,runtime_seconds,incumbent,best_bound,relative_gap,gap_percent,node_count,solution_count,event,bound_gap_to_best_known_percent,incumbent_gap_to_best_known_percent
network_mir,1.05872,35843.00000000001,34983.64331380237,0.023975579226003286,2.3975579226003285,0.0,15,bound,2.2120382563176206,0.1900768693221727
network_mir,1.13433,35843.00000000001,34983.64764400166,0.023975458415823006,2.3975458415823008,0.0,15,bound,2.2120261523363713,0.1900768693221727
network_mir,1.177021,35843.00000000001,34985.10444335387,0.023934814514581286,2.3934814514581286,2.0,15,bound,2.2079540367466945,0.1900768693221727
network_mir,1.196235,35843.00000000001,34991.29255549322,0.023762169586998425,2.3762169586998425,3.0,15,bound,2.190656728181069,0.1900768693221727
network_mir,1.302986,35843.00000000001,35001.69847184664,0.023471850240029183,2.3471850240029184,5.0,15,bound,2.1615696104915694,0.1900768693221727
network_mir,1.332191,35843.00000000001,35002.35407725168,0.023453559209561926,2.3453559209561927,6.0,15,bound,2.159737030743036,0.1900768693221727
network_mir,1.422759,35843.00000000001,35010.30394053768,0.02323176239327987,2.323176239327987,7.0,15,bound,2.1375151906703658,0.1900768693221727
network_mir,2.062602,35791.00000000001,35010.30394053768,0.021812636122554005,2.1812636122554006,29.0,16,incumbent,2.1375151906703658,0.044723969252291475
network_mir,4.35762,35791.00000000001,35010.41125564377,0.021809637740108925,2.1809637740108925,187.0,16,bound,2.1372152183262934,0.044723969252291475
network_mir,6.278603,35791.00000000001,35015.21528768752,0.021675413157287816,2.1675413157287817,335.0,16,bound,2.1237867569880673,0.044723969252291475
network_mir,7.185678,35791.00000000001,35030.4674534273,0.021249267876636786,2.1249267876636786,387.0,16,bound,2.0811531700145354,0.044723969252291475
network_mir,8.262898,35791.00000000001,35033.138224032264,0.021174646586229594,2.1174646586229593,485.0,16,bound,2.0736877036135186,0.044723969252291475
network_mir,11.515313,35791.00000000001,35034.51835136002,0.021136085849514867,2.1136085849514865,558.0,16,bound,2.069829905352843,0.044723969252291475
network_mir,11.557495,35791.00000000001,35040.964859542415,0.02095597050816105,2.095597050816105,558.0,16,bound,2.051810315744472,0.044723969252291475
network_mir,11.57588,35791.00000000001,35042.54803146986,0.020911736708394545,2.0911736708394546,559.0,16,bound,2.047384957456721,0.044723969252291475
network_mir,11.588017,35791.00000000001,35042.865028321736,0.020902879821135797,2.09028798211358,560.0,16,bound,2.046498872615693,0.044723969252291475
network_mir,11.598295,35791.00000000001,35043.36000486471,0.020889050183993015,2.0889050183993016,561.0,16,bound,2.0451152903851484,0.044723969252291475
network_mir,11.605552,35791.00000000001,35043.393518615965,0.020888113810288676,2.0888113810288678,562.0,16,bound,2.0450216111363657,0.044723969252291475
network_mir,11.794711,35791.00000000001,35047.37831859579,0.02077677855897348,2.077677855897348,563.0,16,bound,2.0338831066504897,0.044723969252291475
network_mir,11.842708,35791.00000000001,35052.79518166548,0.020625431486533622,2.0625431486533623,564.0,16,bound,2.0187416305646897,0.044723969252291475
network_mir,11.871507,35791.00000000001,35057.73730460799,0.020487348646084737,2.0487348646084738,564.0,16,bound,2.0049271709070906,0.044723969252291475
network_mir,11.886883,35791.00000000001,35058.34029839069,0.020470501008893704,2.0470501008893702,565.0,16,bound,2.0032416536947797,0.044723969252291475
network_mir,11.901975,35791.00000000001,35058.483547692245,0.020466498625569606,2.0466498625569605,566.0,16,bound,2.002841236359901,0.044723969252291475
network_mir,12.090341,35791.00000000001,35065.91557335976,0.02025884794055067,2.025884794055067,567.0,16,bound,1.9820668808951554,0.044723969252291475
network_mir,12.147089,35791.00000000001,35066.371064277104,0.02024612153119229,2.024612153119229,568.0,16,bound,1.9807936707837768,0.044723969252291475
network_mir,12.355049,35791.00000000001,35067.638108990686,0.02021072032101145,2.021072032101145,569.0,16,bound,1.9772519664830572,0.044723969252291475
network_mir,12.402885,35791.00000000001,35069.96555873934,0.020145691410149602,2.0145691410149604,570.0,16,bound,1.9707461670458626,0.044723969252291475
network_mir,12.674167,35791.00000000001,35071.06747477614,0.020114903892706835,2.0114903892706835,574.0,16,bound,1.9676660383616023,0.044723969252291475
network_mir,14.20062,35791.00000000001,35071.142925831584,0.020112795791356018,2.0112795791356017,576.0,16,bound,1.9674551339438606,0.044723969252291475
network_mir,14.647093,35791.00000000001,35082.12278192679,0.019806018777715605,1.9806018777715606,579.0,16,bound,1.936763712294094,0.044723969252291475
network_mir,20.165735,35790.999866,35082.12278192679,0.01980601510791027,1.980601510791027,688.0,17,interval,1.936763712294094,0.04472359468902388
network_mir,22.339935,35790.999866,35082.3195596164,0.01980051714221081,1.980051714221081,725.0,17,bound,1.9362136698353585,0.04472359468902388
network_mir,27.277397,35790.999866,35106.06710192256,0.01913701116598572,1.913701116598572,887.0,17,bound,1.869833397840495,0.04472359468902388
network_mir,29.285473,35790.999866,35106.28156332214,0.01913101911769481,1.9131019117694812,983.0,17,bound,1.869233925025465,0.04472359468902388
network_mir,32.225632,35790.999866,35151.913387084845,0.017856066645465782,1.7856066645465782,1098.0,17,bound,1.7416816573449463,0.04472359468902388
network_mir,35.31972,35790.999866,35152.95103757153,0.017827074706414845,1.7827074706414845,1197.0,17,bound,1.7387811668161213,0.04472359468902388
network_mir,37.672664,35790.999866,35186.548909491976,0.016888350668354098,1.6888350668354097,1305.0,17,bound,1.6448667798966434,0.04472359468902388
network_mir,39.319212,35790.999866,35186.61240824155,0.016886576514242448,1.6886576514242448,1380.0,17,bound,1.6446892851389292,0.04472359468902388
network_mir,42.058578,35790.999866,35206.813937581035,0.016322146087176408,1.6322146087176408,1473.0,17,bound,1.5882209990746747,0.04472359468902388
network_mir,43.191255,35790.999866,35206.89227679238,0.016319957290785198,1.6319957290785196,1549.0,17,bound,1.5880020215447113,0.04472359468902388
network_mir,45.548069,35790.999866,35211.979043933556,0.0161778330930757,1.61778330930757,1652.0,17,bound,1.5737832454687473,0.04472359468902388
network_mir,46.830712,35790.999866,35212.07644769551,0.01617511163342614,1.617511163342614,1720.0,17,bound,1.5735109777903333,0.04472359468902388
network_mir,47.922104,35790.999866,35219.98246737997,0.015954217561898153,1.5954217561898152,1812.0,17,bound,1.5514116914606102,0.04472359468902388
network_mir,49.576632,35790.999866,35224.8187053406,0.015819093145739344,1.5819093145739345,1898.0,17,bound,1.5378932065951083,0.04472359468902388
network_mir,50.978327,35790.999866,35232.68357868411,0.015599348702360927,1.5599348702360927,1974.0,17,bound,1.5159089344958459,0.04472359468902388
network_mir,53.479719,35790.999866,35233.11181192939,0.015587383871904057,1.5587383871904057,2111.0,17,bound,1.514711916339931,0.04472359468902388
network_mir,53.846276,35790.999866,35233.673571755804,0.01557168831077088,1.557168831077088,2129.0,17,bound,1.5131416582646988,0.04472359468902388
network_mir,54.913058,35790.999866,35240.373165480305,0.015384501762488238,1.5384501762488239,2187.0,17,bound,1.494414631781118,0.04472359468902388
