problem,formulation,seed,time_limit,paper_reported_objective,best_known_objective,lp_status,pure_lp_bound,pure_lp_gap_vs_best_percent,lp_runtime_seconds,mip_status,mip_objective,mip_best_bound,mip_gap,mip_runtime_seconds,branch_and_bound_nodes,binary_variables,total_variables,constraints,purchase_cost,reconfiguration_cost,material_handling_cost,purchased_machine_count,reconfiguration_count,objective_delta_vs_base,lp_bound_improvement_vs_base,binary_reduction_vs_base,runtime_ratio_vs_base
single_part,base,1,120.0,23082.0,22910.0,OPTIMAL,20925.08148,8.663983,0.022969,OPTIMAL,22910.0,22910.0,0.0,6.506453,3062.0,1856,4096,3136,11025.0,1925.0,9960.0,12,9,0.0,0.0,0,1.0
single_part,network,1,120.0,23082.0,22910.0,OPTIMAL,22162.618038,3.262252,0.020092,OPTIMAL,22910.0,22910.0,0.0,2.337758,3300.0,832,4944,1856,11025.0,1925.0,9960.0,12,9,0.0,1237.536558,1024,0.359298
single_part,network_mir,1,120.0,23082.0,22910.0,OPTIMAL,22674.8,1.026626,0.023349,OPTIMAL,22910.0,22910.0,0.0,0.903584,118.0,832,4944,1892,11025.0,1925.0,9960.0,12,9,0.0,1749.71852,1024,0.138875
